dealid,deal_url,reviewid,review_rating,reviewer,purchaser_type,review_date,review_text,review_text_length,feature_sentiment_annotated
4354,https://www.groupon.com/deals/gg-cm-insten-av-composite-cable-for-nintendo-wii,1,1,George,Verified Purchaser,4/21/2018,was not the correct cable to connect to TV,42,"[(cable, not correct, neg)]"
6811,https://www.groupon.com/deals/gg-cm-nelly-women-s-plus-size-cold-shoulder-tunic-dress,1,5,Phyllis,Verified Purchaser,3/1/2018,Love it.,8,
6811,https://www.groupon.com/deals/gg-cm-nelly-women-s-plus-size-cold-shoulder-tunic-dress,2,5,Patricia,Verified Purchaser,5/19/2018,Great little dress for a weekend getaway,40,"[(dress, great, pos)]"
8498,https://www.groupon.com/deals/gg-cm-men-s-camo-fleece-zipper-hoody,1,3,Claude,Verified Purchaser,1/2/2018,undersized as a 2xL,19,
8498,https://www.groupon.com/deals/gg-cm-men-s-camo-fleece-zipper-hoody,2,5,Surf,Verified Purchaser,1/2/2018,Comfortable and decent materials. Works perfect for what I need.,64,"[(material, comfortable, pos), (material, decent, pos), (works, perfect, pos)]"
8498,https://www.groupon.com/deals/gg-cm-men-s-camo-fleece-zipper-hoody,3,5,Thomas,Verified Purchaser,1/7/2018,"Very warm, could ware for winter coat. The fit is right on.nice fleece",70,"[(fit, right, pos), (fleece, nice, pos)]"
8498,https://www.groupon.com/deals/gg-cm-men-s-camo-fleece-zipper-hoody,4,4,Tracie,Verified Purchaser,1/8/2018,"Misshapen, short and a bulge in the left shoulder. Horrible quality.",68,"[(quality, horrible, neg)]"
8498,https://www.groupon.com/deals/gg-cm-men-s-camo-fleece-zipper-hoody,5,5,Larry,Verified Purchaser,1/9/2018,Nice and warm,13,
8498,https://www.groupon.com/deals/gg-cm-men-s-camo-fleece-zipper-hoody,6,5,Brenda,Verified Purchaser,1/12/2018,I bought this for a relative and I am told that he loves it and wore it right away.,83,
8498,https://www.groupon.com/deals/gg-cm-men-s-camo-fleece-zipper-hoody,7,5,Carl,Verified Purchaser,1/22/2018,Really great looking and warm.,30,"[(looking, really great, pos)]"
8498,https://www.groupon.com/deals/gg-cm-men-s-camo-fleece-zipper-hoody,8,1,Mark,Verified Purchaser,1/26/2018,Stitching on the left pocket already coming apart after wearing 2 days.,71,
